token,kind,lang
Webpack,tech,
esbuild,tech,
Babel,tech,
Jest,tech,
Vitest,tech,
Playwright,tech,
Cypress,tech,
Selenium,tech,
Storybook,tech,
Alembic,tech,
Celery,tech,
RabbitMQ,tech,
Kafka,tech,
gRPC,tech,
OpenAPI,tech,
Swagger,tech,
Keras,tech,
XGBoost,tech,
LangChain,tech,
Transformers,tech,
Seaborn,tech,
Plotly,tech,
# ── More databases / infra ──
MariaDB,tech,
CockroachDB,tech,
DynamoDB,tech,
Cassandra,tech,
Neo4j,tech,
Supabase,tech,
Firebase,tech,
Prometheus,tech,
Grafana,tech,
Vault,tech,
Consul,tech,
Helm,tech,
Istio,tech,
Cloudflare,tech,
# ── Cloud providers ──
AWS,tech,
Azure,tech,
Lambda,tech,
S3,tech,
EC2,tech,
# ── More security tooling ──
Wireshark,tech,
Aircrack,tech,
John,tech,
Hashcat,tech,
Responder,tech,
Bloodhound,tech,
Impacket,tech,
Frida,tech,
Ghidra,tech,
Radare2,tech,
Amass,tech,
# ── Security concepts ──
XSS,tech,
CSRF,tech,
SSRF,tech,
RCE,tech,
LFI,tech,
IDOR,tech,
Exploit,word,
Reconnaissance,word,
Privilege,word,
Escalation,word,
Injection,word,
Traversal,word,
# ── More instruction / domain words ──
Migrate,word,
Validate,word,
Serialize,word,
Deserialize,word,
Benchmark,word,
Profile,word,
Document,word,
Summarize,word,
Integrate,word,
Schema,word,
Pipeline,word,
Dependency,word,
Concurrency,word,
Asynchronous,word,
Idempotent,word,
Pagination,word,
Throttling,word,
Webhook,word,
Serverless,word,
Kubernetes,word,
# ── Game / graphics ──
Unity,tech,
Unreal,tech,
Godot,tech,
Bevy,tech,
WebGL,tech,
OpenGL,tech,
Vulkan,tech,
Blender,tech,
Shader,word,
Sprite,word,
Raycast,word,
# ── Payments / SaaS ──
Stripe,tech,
PayPal,tech,
Braintree,tech,
Checkout,word,
Subscription,word,
Invoice,word,
Tenant,word,
# ── Networking / systems ──
TCP,tech,
UDP,tech,
HTTP,tech,
HTTPS,tech,
TLS,tech,
SSH,tech,
DNS,tech,
QUIC,tech,
mTLS,tech,
Socket,word,
Latency,word,
Throughput,word,
Firewall,word,
Proxy,word,
# ── Data formats / protocols ──
JSON,tech,
YAML,tech,
TOML,tech,
XML,tech,
Protobuf,tech,
Avro,tech,
Parquet,tech,
CSV,tech,
Markdown,tech,
# ── More ML / AI ──
LLM,tech,
RAG,tech,
Embedding,word,
Tokenizer,word,
Transformer,word,
Inference,word,
Quantization,word,
Ollama,tech,
Llama,tech,
Mistral,tech,
Gemini,tech,
Claude,tech,
Pinecone,tech,
Weaviate,tech,
Chroma,tech,
Qdrant,tech,
HuggingFace,tech,
# ── More cloud / DevOps ──
GCP,tech,
Fargate,tech,
CloudFront,tech,
Route53,tech,
DigitalOcean,tech,
Vercel,tech,
Netlify,tech,
Fly.io,tech,
Railway,tech,
ArgoCD,tech,
Jenkins,tech,
CircleCI,tech,
GitLab,tech,
Datadog,tech,
Sentry,tech,
OpenTelemetry,tech,
# ── More security tooling / concepts ──
Nessus,tech,
OpenVAS,tech,
Wfuzz,tech,
Feroxbuster,tech,
Crackmapexec,tech,
Mimikatz,tech,
Empire,tech,
Cobalt,tech,
Nuclei,tech,
Subfinder,tech,
Httpx,tech,
Kerberoasting,word,
Pivoting,word,
Persistence,word,
Enumeration,word,
Deserialization,word,
Sandbox,word,
Obfuscation,word,
Backdoor,word,
Rootkit,word,
Ransomware,word,
